plate_id,plate_file_name,added pop up lab samples,Plate_date,assays,run_by,rxn_volume,template_volume,,,,,,,,,,,,,,,,,
68,P68_PMMoV_B04,,9/3/20,PMMoV,Hannah,20,5,,,,,,,,,,,,,,,,,
78,P78_N1-xeno_B07,,9/14/20,"N1, xeno",Hannah,20,5,,,,,,,,,,,,,,,,,
79,P79_N1-xeno_B08,university village 7/30-8/13 ,9/14/20,"N1, xeno",Hannah,20,5,,,,,,,,,,,,,,,,,
80,P80_N1-xeno_B02,university village 8/20-9/10,9/15/20,"N1, xeno",Hannah,20,5,,,,,,,,,,,,,,,,,
85,P85_N1-xeno_B3,,10/27/20,"N1,xeno",hannah,20,5,,,,,,,,,,,,,,,,,
86,P86_N1-xeno_B2,,10/27/20,"N1,xeno",hannah,20,5,,,,,,,,,,,,,,,,,
87,P87_N1-xeno_B9,,10/26/20,"N1,xeno",Lauren,20,5,,,,,,,,,,,,,,,,,
88,P88_N1-xeno_B14,,10/26/20,"N1,xeno",Lauren,20,5,,,,,,,,,,,,,,,,,
91,P91_N1-xeno_B1,,10/27/20,"N1,xeno",hannah,20,5,,,,,,,,,,,,,,,,,
92,P92_N1-xeno_B4,,10/29/20,"N1,xeno",Lauren,20,5,,,,,,,,,,,,,,,,,
93,P93_N1-xeno_B16,,10/30/20,"N1,xeno",hannah,20,5,,,,,,,,,,,,,,,,,
94,P94_N1-xeno_B17,,10/30/20,"N1,xeno",hannah,20,5,,,,,,,,,,,,,,,,,
95,P95_N1-xeno_B7,,10/29/20,"N1,xeno",Lauren,20,5,,,,,,,,,,,,,,,,,
96,P96_N1-xeno_inhib,,11/4/20,"N1,xeno",hannah,20,5,,,,,,,,,,,,,,,,,
97,P97_N1-xeno_StdCurve,,11/5/20,"N1,xeno",adrian,20,5,,,,,,,,,,,,,,,,,
99,P99_N1-xeno_B18,,11/6/20,"N1,xeno",lauren,20,5,,,,,,,,,,,,,,,,,
100,P100_N1-xeno_inhib,,11/6/20,"N1,xeno",hannah,20,5,,,,,,,,,,,,,,,,,
101,P101_N1-xeno_inhib,,11/6/20,"N1,xeno",hannah,20,5,,,,,,,,,,,,,,,,,
102,P102_N1-xeno_inhib,,11/10/20,"N1,xeno",hannah,20,5,,,,,,,,,,,,,,,,,
103,P103_PMMoV_18S_controls,,11/12/20,"18S,PMMoV",Lauren,20,5,,,,,,,,,,,,,,,,,
104,P104_bact_crAss_controls,,11/12/20,"bacteroides,crAss",Lauren,20,5,,,,,,,,,,,,,,,,,
105,P105_PMMoV_SQ_K_test,,11/13/20,PMMoV,hannah,20,5,,,,,,,,,,,,,,,,,
106,P106_18S_SQ_K_test,,11/13/20,18S,Lauren,20,5,,,,,,,,,,,,,,,,,
107,P107_bact_SQ_K_test,,11/13/20,bacteroides,hannah,20,5,,,,,,,,,,,,,,,,,
108,P108_crAss_SQ_K_test,,11/13/20,crAss,Lauren,20,5,,,,,,,,,,,,,,,,,
109,P109_N1-xeno_StdCurve,,11/17/20,"N1,xeno",Adrian,20,5,,,,,,,,,,,,,,,,,
110,P110_N1-xeno_StdCurve,,11/18/20,"N1,xeno",Adrian,20,5,,,,,,,,,,,,,,,,,
111,P111_NoRT_bact_18S,,11/19/20,"18S,bacteroides",Adrian,20,5,,,,,,,,,,,,,,,,,
112,P112_PMMoV_B01,,11/20/20,PMMoV,hannah,20,5,,,,,,,,,,,,,,,,,
113,P113_18S_B01,,11/20/20,18S,lauren,20,5,,,,,,,,,,,,,,,,,
114,P114_bact_B01,,11/20/20,bact,lauren,20,5,,,,,,,,,,,,,,,,,
