Well,Omit,Sample,Target,Dye,Task,Cq,Quantity,plate_id,well_id,is_primary_value,is_dilution,inhibition_testing,LoD_testing,note,inhib_dCt2,,,,,,,,,,
A1,FALSE,NTC,Xeno IPC man,VIC,Negative Control,31.9485932,,87,87_A1,Y,N,N,,,,,,,,,,,,,
A2,FALSE,NTC,Xeno IPC man,VIC,Negative Control,31.8367129,,87,87_A2,Y,N,N,,,,,,,,,,,,,
E9,FALSE,E_INF_091420_4,Xeno IPC man,VIC,Unknown,35.73942501,4.77E-09,99,99_E9,N,N,N,,,,,,,,,,,,,
F6,FALSE,E_Inf_060720_3,Xeno IPC man,VIC,Unknown,34.53552283,1.99E-08,85,85_F6,N,N,N,,,,,,,,,,,,,
E8,FALSE,E_INF_091420_4,Xeno IPC man,VIC,Unknown,34.98431404,3.32E-07,99,99_E8,N,N,N,,,,,,,,,,,,,
C6,FALSE,C_ADA_090920_4,Xeno IPC man,VIC,Unknown,34.85913153,6.72E-07,99,99_C6,N,N,N,,,Y,,,,,,,,,,
E7,FALSE,E_INF_091420_4,Xeno IPC man,VIC,Unknown,34.80537779,9.09E-07,99,99_E7,N,N,N,,,,,,,,,,,,,
B5,FALSE,B_SQ_091520_4,Xeno IPC man,VIC,Unknown,34.28679586,1.67733E-05,99,99_B5,N,N,N,,,,,,,,,,,,,
A6,FALSE,J_Inf_080620_1,Xeno IPC man,VIC,Unknown,32.214375,2.44E-05,80,80_A6,N,N,N,,,,,,,,,,,,,
D5,FALSE,E_Inf_060220_2,Xeno IPC man,VIC,Unknown,32.20649,2.61E-05,80,80_D5,N,N,N,,,,,,,,,,,,,
C6,FALSE,E_Inf_053120_2,Xeno IPC man,VIC,Unknown,32.19798,2.81E-05,80,80_C6,N,N,N,,,,,,,,,,,,,
F6,FALSE,E_Inf_060720_2,Xeno IPC man,VIC,Unknown,32.16534,3.70E-05,80,80_F6,N,N,N,,,,,,,,,,,,,
F4,FALSE,E_Inf_060720_2,Xeno IPC man,VIC,Unknown,32.16282,3.78E-05,80,80_F4,N,N,N,,,,,,,,,,,,,
F5,FALSE,E_Inf_060720_2,Xeno IPC man,VIC,Unknown,32.147617,4.31E-05,80,80_F5,N,N,N,,,,,,,,,,,,,
F5,FALSE,E_Inf_060720_3,Xeno IPC man,VIC,Unknown,33.5870506,4.67779E-05,85,85_F5,N,N,N,,,,,,,,,,,,,
B4,FALSE,B_SQ_091520_4,Xeno IPC man,VIC,Unknown,34.08954519,5.0838E-05,99,99_B4,N,N,N,,,,,,,,,,,,,
D6,FALSE,E_Inf_060220_2,Xeno IPC man,VIC,Unknown,32.10103,6.40E-05,80,80_D6,N,N,N,,,,,,,,,,,,,
D4,FALSE,E_Inf_060220_2,Xeno IPC man,VIC,Unknown,32.094566,6.76E-05,80,80_D4,N,N,N,,,,,,,,,,,,,
