date_sampling,new_cases,active_cases,total_tests,fourteen_day_moving_total_new_cases,released_while_active,resolved,deaths,seven_day_moving_total_active_cases,interceptor,utility,sample_code,new_cases_Ep,new_cases_Col,seven_day_moving_total_new_cases_Ep,seven_day_moving_total_new_cases_Col,seven_day_moving_total_new_cases
4/15/20,0.79,,79,,,,,,INF,K,K_K_INF,0.79,0.79,,,
4/16/20,0.79,,105,,,,,,INF,K,K_K_INF,11,14,,,
4/17/20,0.79,,72,,,,,,INF,K,K_K_INF,0.79,0.79,,,
4/18/20,0.79,,38,,,,,,INF,K,K_K_INF,0.79,0.79,,,
4/19/20,0.79,,38,,,,,,INF,K,K_K_INF,0.79,0.79,,,
4/20/20,0.79,,82,,,,,,INF,K,K_K_INF,0.79,0.79,,,
4/21/20,0.79,,125,,,,,,INF,K,K_K_INF,0.79,0.79,15.74,18.74,5.53
4/22/20,0.79,,151,,,,,,INF,K,K_K_INF,0.79,0.79,15.74,18.74,5.53
4/23/20,0.79,,182,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
4/24/20,0.79,,166,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
4/25/20,0.79,,61,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
4/26/20,0.79,,64,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
4/27/20,0.79,,148,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
4/28/20,0.79,,160,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
4/29/20,0.79,,182,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
4/30/20,0.79,,196,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
5/1/20,0.79,,303,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
5/2/20,0.79,,78,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
5/3/20,0.79,,58,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
5/4/20,0.79,,156,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
5/5/20,0.79,,169,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
5/6/20,0.79,,205,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
5/7/20,0.79,,213,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
5/8/20,0.79,,325,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
5/9/20,0.79,,108,,,,,,INF,K,K_K_INF,0.79,0.79,5.53,5.53,5.53
