date,utility,interceptor,flow_MGD,BOD_mgL,TSS_mgL,COD_mgL,solids_percent,cBOD_mgL,NH4_mgL,NO3plusNO2_mgL,TKN_mgL,totalP_mgL,population
3/16/2020,E,INF,,,,,3.85,,,,,,1500000
3/17/2020,E,INF,,280.00,303.00,433.00,4.01,,,,,,1500000
3/18/2020,E,INF,,,,,3.62,,,,,,1500000
3/19/2020,E,INF,,300.00,311.00,572.00,3.42,,,,,,1500000
3/20/2020,E,INF,,,,,3.46,,,,,,1500000
3/21/2020,E,INF,,,,,3.12,,,,,,1500000
3/22/2020,E,INF,,300.00,300.00,584.00,3.09,,,,,,1500000
3/23/2020,E,INF,,,,,3.09,,,,,,1500000
3/24/2020,E,INF,,300.00,328.00,547.00,4.36,,,,,,1500000
3/25/2020,E,INF,,,,,3.20,,,,,,1500000
3/26/2020,E,INF,,300.00,284.00,563.00,3.15,,,,,,1500000
3/27/2020,E,INF,,,,,2.93,,,,,,1500000
3/28/2020,E,INF,,,,,2.95,,,,,,1500000
3/29/2020,E,INF,,280.00,291.00,558.00,3.98,,,,,,1500000
3/30/2020,E,INF,,,,,2.96,,,,,,1500000
3/31/2020,E,INF,,310.00,325.00,604.00,3.21,,,,,,1500000
4/1/2020,E,INF,,,,,3.66,,,,,,1500000
4/2/2020,E,INF,,340.00,324.00,593.00,3.55,,,,,,1500000
4/3/2020,E,INF,,,,,3.21,,,,,,1500000
4/4/2020,E,INF,,,,,3.56,,,,,,1500000
4/5/2020,E,INF,,280.00,338.00,591.00,3.15,,,,,,1500000
4/6/2020,E,INF,,,,,3.49,,,,,,1500000
4/7/2020,E,INF,,280.00,265.00,493.00,3.63,,,,,,1500000
4/8/2020,E,INF,,,,,3.10,,,,,,1500000
4/9/2020,E,INF,,300.00,304.00,553.00,2.60,,,,,,1500000
4/10/2020,E,INF,,,,,2.85,,,,,,1500000
4/11/2020,E,INF,,,,,2.86,,,,,,1500000
4/12/2020,E,INF,,300.00,265.00,547.00,3.29,,,,,,1500000
4/13/2020,E,INF,,,,,3.18,,,,,,1500000
4/14/2020,E,INF,,300.00,304.00,545.00,3.08,,,,,,1500000
4/15/2020,E,INF,,,,,3.28,,,,,,1500000
4/16/2020,E,INF,,290.00,286.00,569.00,3.32,,,,,,1500000
4/17/2020,E,INF,,,,,3.52,,,,,,1500000
4/18/2020,E,INF,,,,,2.99,,,,,,1500000
4/19/2020,E,INF,,340.00,293.00,605.00,3.02,,,,,,1500000
4/20/2020,E,INF,,,,,3.36,,,,,,1500000
4/21/2020,E,INF,,320.00,315.00,590.00,3.34,,,,,,1500000
4/22/2020,E,INF,,,,,2.71,,,,,,1500000
4/23/2020,E,INF,,290.00,291.00,604.00,2.94,,,,,,1500000
4/24/2020,E,INF,,,,,3.26,,,,,,1500000
4/25/2020,E,INF,,,,,3.76,,,,,,1500000
4/26/2020,E,INF,,290.00,295.00,622.00,2.77,,,,,,1500000
4/27/2020,E,INF,,,,,3.15,,,,,,1500000
4/28/2020,E,INF,,330.00,336.00,593.00,3.42,,,,,,1500000
4/29/2020,E,INF,,,,,2.82,,,,,,1500000
4/30/2020,E,INF,,280.00,312.00,605.00,3.03,,,,,,1500000
5/1/2020,E,INF,,,,,3.36,,,,,,1500000
5/2/2020,E,INF,,,,,3.67,,,,,,1500000
5/3/2020,E,INF,,290.00,265.00,582.00,3.47,,,,,,1500000
5/4/2020,E,INF,,,,,4.48,,,,,,1500000
5/5/2020,E,INF,,330.00,293.00,624.00,3.98,,,,,,1500000
5/6/2020,E,INF,,,,,3.95,,,,,,1500000
5/7/2020,E,INF,,270.00,286.00,596.00,4.06,,,,,,1500000
5/8/2020,E,INF,,,,,4.20,,,,,,1500000
5/9/2020,E,INF,,,,,3.43,,,,,,1500000
5/10/2020,E,INF,,290.00,278.00,546.00,3.43,,,,,,1500000
5/11/2020,E,INF,,,,,3.95,,,,,,1500000
5/12/2020,E,INF,,290.00,284.00,593.00,4.02,,,,,,1500000
5/13/2020,E,INF,,,,,3.80,,,,,,1500000
5/14/2020,E,INF,,320.00,337.00,638.00,3.22,,,,,,1500000
5/15/2020,E,INF,,,,,3.70,,,,,,1500000
5/16/2020,E,INF,,,,,3.42,,,,,,1500000
5/17/2020,E,INF,,300.00,291.00,602.00,3.94,,,,,,1500000
5/18/2020,E,INF,,,,,3.82,,,,,,1500000
5/19/2020,E,INF,,290.00,302.00,541.00,3.76,,,,,,1500000
5/20/2020,E,INF,,,,,3.87,,,,,,1500000
5/21/2020,E,INF,,320.00,300.00,608.00,3.87,,,,,,1500000
5/22/2020,E,INF,,,,,3.50,,,,,,1500000
5/23/2020,E,INF,,,,,3.26,,,,,,1500000
5/24/2020,E,INF,,300.00,334.00,504.00,4.01,,,,,,1500000
5/25/2020,E,INF,,,,,4.08,,,,,,1500000
5/26/2020,E,INF,,300.00,332.00,611.00,3.46,,,,,,1500000
5/27/2020,E,INF,,,,,3.36,,,,,,1500000
5/28/2020,E,INF,,290.00,312.00,581.00,3.76,,,,,,1500000
5/29/2020,E,INF,,,,,4.02,,,,,,1500000
5/30/2020,E,INF,105.15,,,,3.57,,,,,,1500000
5/31/2020,E,INF,102.19,,309.00,665.00,3.62,,,,,,1500000
6/1/2020,E,INF,101.88,,,,3.63,,,,,,1500000
6/2/2020,E,INF,102.67,,300.00,621.00,3.73,,,,,,1500000
6/3/2020,E,INF,102.79,,,,3.15,,,,,,1500000
6/4/2020,E,INF,101.79,290.00,296.00,609.00,3.34,,,,,,1500000
6/5/2020,E,INF,102.40,300.00,278.00,,3.28,,,,,,1500000
6/6/2020,E,INF,101.36,280.00,280.00,,3.49,,,,,,1500000
6/7/2020,E,INF,101.05,320.00,286.00,656.00,3.61,,,,,,1500000
6/8/2020,E,INF,101.49,,,,3.47,,,,,,1500000
6/9/2020,E,INF,101.13,290.00,323.00,641.00,2.99,,,,,,1500000
6/10/2020,E,INF,102.90,,,,3.02,,,,,,1500000
6/11/2020,E,INF,102.29,240.00,283.00,596.00,3.06,,,,,,1500000
6/12/2020,E,INF,101.12,,,,2.94,,,,,,1500000
6/13/2020,E,INF,101.92,,,,3.02,,,,,,1500000
6/14/2020,E,INF,101.38,320.00,282.00,631.00,3.02,,,,,,1500000
6/15/2020,E,INF,102.47,,,,2.49,,,,,,1500000
6/16/2020,E,INF,101.33,270.00,295.00,608.00,3.01,,,,,,1500000
6/17/2020,E,INF,102.13,,,,3.87,,,,,,1500000
6/18/2020,E,INF,100.77,280.00,316.00,606.00,2.62,,,,,,1500000
6/19/2020,E,INF,104.94,,,,3.88,,,,,,1500000
6/20/2020,E,INF,103.94,,,,3.14,,,,,,1500000
6/21/2020,E,INF,103.45,270.00,256.00,596.00,3.16,,,,,,1500000
6/22/2020,E,INF,104.43,,,,1.97,,,,,,1500000
6/23/2020,E,INF,103.83,290.00,292.00,589.00,3.45,,,,,,1500000
6/24/2020,E,INF,103.91,,,,3.34,,,,,,1500000
6/25/2020,E,INF,104.17,290.00,314.00,612.00,3.24,,,,,,1500000
6/26/2020,E,INF,105.98,,,,2.01,,,,,,1500000
6/27/2020,E,INF,105.53,,,,3.02,,,,,,1500000
6/28/2020,E,INF,104.38,290.00,248.00,600.00,3.11,,,,,,1500000
6/29/2020,E,INF,105.14,,,,3.29,,,,,,1500000
6/30/2020,E,INF,104.15,270.00,275.00,585.00,3.19,,,,,,1500000
7/1/2020,E,INF,105.31,,,,2.98,,,,,,1500000
7/2/2020,E,INF,104.13,240.00,291.00,607.00,3.35,,,,,,1500000
7/3/2020,E,INF,102.88,,,,3.00,,,,,,1500000
7/4/2020,E,INF,100.78,,,,1.78,,,,,,1500000
7/5/2020,E,INF,100.03,270.00,257.00,566.00,2.85,,,,,,1500000
7/6/2020,E,INF,105.86,,,,3.17,,,,,,1500000
7/7/2020,E,INF,105.01,250.00,270.00,574.00,3.53,,,,,,1500000
7/8/2020,E,INF,105.36,,,,3.60,,,,,,1500000
7/9/2020,E,INF,103.78,310.00,338.00,610.00,3.68,,,,,,1500000
7/10/2020,E,INF,103.63,,,,3.40,,,,,,1500000
7/11/2020,E,INF,102.92,,,,3.62,,,,,,1500000
7/12/2020,E,INF,101.80,340.00,301.00,617.00,3.85,,,,,,1500000
