Week_of,new_sample_id,sample_id,sample_barcode,batch,trytofind_B18,sample_code,date_sampling,days_in_transit_storage,replicate,date_extract,conc_ext_by,aliquot_weight_unfrozen_g,elution_vol_ul,weight_vol_extracted_ml,effective_vol_extracted_ml,bCoV_spike_vol_ul,GFP_spike_vol_ul,RNA_qubit_HS_template_ul,RNA_ng_ul_qubit_HS,DNA_ng_ul_qubit_HS,DNA_qubit_HS_template_ul,DNA_ng_ul_qubit_all,RNA_ng_ul_qubit_all
,C_C_N49_081120_2,C_N49_081120_2,,B11,,C_C_N49,8/11/20,37,2,9/17/20,Adrian,37.8,200,14.315,40,50,20,,,,,,
1-Sep,C_C_ADA_090120_3,C_ADA_090120_3,,B15,,C_C_ADA,9/1/20,44,3,10/15/20,Adrian,52.5,200,29.015,40,50,20,,,,,,
,B_B_SQ_070120_1,B_SQ_070120_1,,B18,B18,B_B_SQ,7/1/20,126,1,11/4/20,Adrian,53,200,29.515,40,50,20,,,,,,
,C_C_N49_060220_2,C_N49_060220_2,,B10,,C_C_N49,6/2/20,99,2,9/9/20,Adrian,57.41,200,33.925,45,50,20,,,,,,
,C_C_N49_081120_3,C_N49_081120_3,,B10,,C_C_N49,8/11/20,29,3,9/9/20,Adrian,58.17,200,34.685,40,50,20,,,,,,
17-Aug,B_B_SQ_081820_4,B_SQ_081820_4,,B07,,B_B_SQ,8/18/20,20,4,9/7/20,Adrian,60.5,200,37.015,40,50,20,,,,,,
17-Aug,C_C_N49_081820_3,C_N49_081820_3,,B10,,C_C_N49,8/18/20,22,3,9/9/20,Adrian,61.09,200,37.605,40,50,20,,,,,,
,C_C_N49_062320_1,C_N49_062320_1,,B09,,C_C_N49,6/23/20,77,1,9/8/20,Adrian,61.7,200,38.215,40,50,20,1,142,4,16,16,142
,C_C_ADA_072820_4,C_ADA_072820_4,,B15,,C_C_ADA,7/28/20,79,4,10/15/20,Adrian,61.7,200,38.215,40,50,20,,,,,,
,C_C_ADA_070720_4,C_ADA_070720_4,,B14,,C_C_ADA,7/7/20,97,4,10/12/20,Adrian,61.9,200,38.415,40,50,20,,,,,,
17-Aug,C_C_ADA_081820_3,C_ADA_081820_3,,B15,,C_C_ADA,8/18/20,58,3,10/15/20,Adrian,61.9,200,38.415,40,50,20,,,,,,
,C_C_N49_070720_2,C_N49_070720_2,,B10,,C_C_N49,7/7/20,64,2,9/9/20,Adrian,62.44,200,38.955,40,50,20,,,,,,
,C_C_S68_042820_1,C_S68_042820_1,,B04,,C_C_S68,4/28/20,127,1,9/2/20,Adrian,62.47,200,38.985,40,50,20,,,,,,
,C_C_S68_070720_3,C_S68_070720_3,,B06,,C_C_S68,7/7/20,58,3,9/3/20,Adrian,62.51,200,39.025,40,50,20,,,,,,
,C_C_N49_072820_3,C_N49_072820_3,,B10,,C_C_N49,7/28/20,43,3,9/9/20,Adrian,62.63,200,39.145,40,50,20,,,,,,
